RUTA,PASSENGERS_mean,PASSENGERS_std,PASSENGERS_count,Accessories_mean,Accessories_std,Accessories_min,Accessories_max,Alcohol_mean,Alcohol_std,Alcohol_min,Alcohol_max,Cold Drink_mean,Cold Drink_std,Cold Drink_min,Cold Drink_max,Confectionery_mean,Confectionery_std,Confectionery_min,Confectionery_max,Fresh Food_mean,Fresh Food_std,Fresh Food_min,Fresh Food_max,Gents Fragrance_mean,Gents Fragrance_std,Gents Fragrance_min,Gents Fragrance_max,Hot Drink_mean,Hot Drink_std,Hot Drink_min,Hot Drink_max,Hot Food_mean,Hot Food_std,Hot Food_min,Hot Food_max,Ladies Fragrance_mean,Ladies Fragrance_std,Ladies Fragrance_min,Ladies Fragrance_max,Logo_mean,Logo_std,Logo_min,Logo_max,Savoury Snacks_mean,Savoury Snacks_std,Savoury Snacks_min,Savoury Snacks_max,Skincare & Make-up_mean,Skincare & Make-up_std,Skincare & Make-up_min,Skincare & Make-up_max,Sweet Snacks_mean,Sweet Snacks_std,Sweet Snacks_min,Sweet Snacks_max,Tobacco_mean,Tobacco_std,Tobacco_min,Tobacco_max,Tobacco._mean,Tobacco._std,Tobacco._min,Tobacco._max
ALG-MAD,76.0,,1,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
AMS-LIS,131.32564841498558,29.084399893003557,347,0.0,0.0,0.0,0.0,5.726224783861672,7.148909807033165,0.0,51.0,7.70028818443804,6.88947215004931,0.0,66.0,0.0,0.0,0.0,0.0,2.4668587896253604,2.8601148346325607,0.0,24.0,0.0,0.0,0.0,0.0,4.1469740634005765,3.6021446416761993,0.0,27.0,1.1498559077809798,1.998704416200473,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.293948126801153,6.658042485818646,0.0,58.0,0.0,0.0,0.0,0.0,3.1296829971181555,2.830043334463499,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMS-MAD,234.05416666666667,68.90343421168913,240,0.0,0.0,0.0,0.0,4.079166666666667,3.4962597069773276,0.0,20.0,7.904166666666667,4.101635469979183,0.0,21.0,0.0,0.0,0.0,0.0,3.7333333333333334,3.471903565108259,0.0,20.0,0.0,0.0,0.0,0.0,3.6125,2.878983505528401,0.0,15.0,1.6708333333333334,1.692953440842109,0.0,9.0,0.0,0.0,0.0,0.0,2.245833333333333,10.978201267436312,0.0,122.0,6.058333333333334,4.010020572643799,0.0,26.0,0.0,0.0,0.0,0.0,2.5708333333333333,2.9292892831408053,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARN-AMS,157.0,,1,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
ARN-ARN,-3.0,,1,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
ARN-LIS,134.77966101694915,26.77418567739321,118,0.0,0.0,0.0,0.0,17.694915254237287,15.190251301678371,0.0,114.0,10.932203389830509,7.880223882410416,0.0,60.0,0.0,0.0,0.0,0.0,4.330508474576271,2.873560835617709,0.0,12.0,0.0,0.0,0.0,0.0,4.559322033898305,3.2411414389118725,0.0,24.0,1.7118644067796611,1.4565014570119217,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.796610169491526,7.35260791227783,0.0,48.0,0.0,0.0,0.0,0.0,4.02542372881356,3.1904286998779305,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASU-LPA,301.0,,1,0.0,,0.0,0.0,1.0,,1.0,1.0,13.0,,13.0,13.0,0.0,,0.0,0.0,6.0,,6.0,6.0,0.0,,0.0,0.0,9.0,,9.0,9.0,0.0,,0.0,0.0,0.0,,0.0,0.0,3.0,,3.0,3.0,10.0,,10.0,10.0,0.0,,0.0,0.0,11.0,,11.0,11.0,1.0,,1.0,1.0,0.0,,0.0,0.0
ASU-MAD,306.7864077669903,36.21765642569037,103,0.34951456310679613,0.7759717230556246,0.0,4.0,3.6893203883495147,3.450004621234734,0.0,23.0,9.242718446601941,4.355447387968574,0.0,21.0,0.42718446601941745,0.7618597182845178,0.0,4.0,3.825242718446602,2.1981595887844647,0.0,10.0,0.3300970873786408,0.6475950912772082,0.0,3.0,3.5533980582524274,2.86537187587493,0.0,11.0,2.5436893203883497,2.1179748884304748,0.0,10.0,0.5048543689320388,0.8842165736808498,0.0,4.0,5.912621359223301,3.573065899735553,0.0,21.0,8.466019417475728,4.320075194472172,0.0,22.0,0.4368932038834951,0.8245010721002954,0.0,3.0,5.669902912621359,4.107354354618457,0.0,17.0,0.4077669902912621,0.7062312736213632,0.0,4.0,0.07766990291262135,0.30322839345135294,0.0,2.0
AXD-LEI,108.0,5.656854249492381,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCN-BCN,-3.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCN-DTM,106.0,,1,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
BCN-LIS,117.37608069164266,32.658467982090094,694,0.0,0.0,0.0,0.0,1.2319884726224783,1.9120827383079757,0.0,18.0,2.207492795389049,3.0710962356612375,0.0,54.0,0.0,0.0,0.0,0.0,0.7161383285302594,1.2090801547723984,0.0,10.0,0.0,0.0,0.0,0.0,0.8847262247838616,1.0856389703769034,0.0,6.0,0.2953890489913545,1.1025650566394367,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7881844380403458,2.613612691688051,0.0,36.0,0.0,0.0,0.0,0.0,0.7492795389048992,1.4316433406368974,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCN-LPA,73.0,,1,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
BCN-MAD,265.1927710843373,50.92755555957893,249,0.0,0.0,0.0,0.0,1.1164658634538152,1.4474985235379394,0.0,8.0,3.140562248995984,2.362407466429127,0.0,9.0,0.0,0.0,0.0,0.0,0.7028112449799196,1.4756191048009935,0.0,10.0,0.0,0.0,0.0,0.0,1.1686746987951808,1.3721240636953291,0.0,6.0,0.3132530120481928,0.6943500821150881,0.0,4.0,0.0,0.0,0.0,0.0,0.028112449799196786,0.2896272134795449,0.0,4.0,2.0642570281124497,1.9228799464628248,0.0,10.0,0.0,0.0,0.0,0.0,0.9036144578313253,1.275840562562756,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCN-PMI,152.61231281198005,23.294300765251265,601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCN-RZE,238.0,,1,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
BCN-SVQ,156.5,99.7020561473032,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BCN-VLC,86.0,,1,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
BDA-HAV,302.0,,1,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
BER-LIS,140.67543859649123,36.110939100420445,228,0.0,0.0,0.0,0.0,4.942982456140351,5.90760682328686,0.0,41.0,7.0701754385964914,5.581150305770806,0.0,40.0,0.0,0.0,0.0,0.0,2.3464912280701755,2.6446081736229283,0.0,18.0,0.0,0.0,0.0,0.0,4.048245614035087,2.5744160607690123,0.0,14.0,1.1008771929824561,1.8521089593182143,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.18859649122807,5.153541338716077,0.0,36.0,0.0,0.0,0.0,0.0,2.6491228070175437,2.2526830058710217,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIO-ACE,146.6578947368421,18.50679395452132,38,0.0,0.0,0.0,0.0,3.6315789473684212,2.725466016502935,0.0,9.0,4.657894736842105,3.147511378932901,0.0,14.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.3244428422615251,0.0,2.0,0.0,0.0,0.0,0.0,3.0789473684210527,1.9084673197800803,0.0,7.0,1.2894736842105263,1.505088571279734,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2894736842105265,3.2954341446904176,0.0,12.0,0.0,0.0,0.0,0.0,1.8421052631578947,1.5687198394124253,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIO-LIS,73.04464285714286,18.33147659370445,112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIO-MAD,135.8185745140389,28.589752359104672,463,0.0,0.0,0.0,0.0,0.2980561555075594,0.8959604517158491,0.0,8.0,0.5356371490280778,1.1350019423682642,0.0,10.0,0.0,0.0,0.0,0.0,0.1101511879049676,0.5332703346521483,0.0,5.0,0.0,0.0,0.0,0.0,0.15766738660907129,0.4912442916349612,0.0,4.0,0.05183585313174946,0.34426639339450726,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2634989200863931,0.8449661636062855,0.0,12.0,0.0,0.0,0.0,0.0,0.08639308855291576,0.3679364371332504,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIO-PMI,141.5581395348837,35.52953320534328,43,0.0,0.0,0.0,0.0,0.6046511627906976,1.1156790561660928,0.0,5.0,2.2325581395348837,2.9345009253812004,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46511627906976744,0.854925148750917,0.0,4.0,0.13953488372093023,0.4670778128727186,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0232558139534884,1.9084819708347018,0.0,10.0,0.0,0.0,0.0,0.0,0.32558139534883723,0.6803686057172433,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIO-TFN,128.5686274509804,25.53683997832213,51,0.0,0.0,0.0,0.0,3.5294117647058822,3.6461099334851146,0.0,19.0,3.9215686274509802,2.322439555768046,0.0,9.0,0.0,0.0,0.0,0.0,2.8823529411764706,2.732376685770316,0.0,10.0,0.0,0.0,0.0,0.0,1.2941176470588236,1.1365582721015026,0.0,4.0,0.8823529411764706,1.2271439821557928,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.764705882352941,2.250228746542161,0.0,9.0,0.0,0.0,0.0,0.0,0.8431372549019608,0.880285158789079,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLQ-BLQ,-3.0,,1,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
BLQ-LIS,106.57142857142857,28.758435615443666,91,0.0,0.0,0.0,0.0,2.6373626373626373,2.6353008831650984,0.0,13.0,5.252747252747253,4.19150836438893,0.0,32.0,0.0,0.0,0.0,0.0,2.978021978021978,3.0549705289650397,0.0,20.0,0.0,0.0,0.0,0.0,2.021978021978022,1.666520140079134,0.0,7.0,0.5054945054945055,0.8990566212996868,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.65934065934066,3.774828267528001,0.0,20.0,0.0,0.0,0.0,0.0,1.879120879120879,1.9654525338973878,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOG-LIS,-2.0,,1,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
BOG-MAD,289.93388429752065,19.928093878237203,121,0.0743801652892562,0.2634795772034443,0.0,1.0,0.8512396694214877,1.6566087700721284,0.0,13.0,2.760330578512397,2.1641965152161733,0.0,10.0,0.05785123966942149,0.26762911716144994,0.0,2.0,0.19834710743801653,0.47644227895838903,0.0,2.0,0.1322314049586777,0.42704700678673485,0.0,3.0,0.19834710743801653,0.6405705101801022,0.0,5.0,0.14049586776859505,0.6232413273091857,0.0,6.0,0.18181818181818182,0.6952217871538071,0.0,6.0,4.363636363636363,2.559296778413945,0.0,13.0,0.7520661157024794,1.3433849766884718,0.0,7.0,0.17355371900826447,0.4774530683814766,0.0,3.0,1.3140495867768596,2.179575867958564,0.0,10.0,0.4049586776859504,0.6779689323842479,0.0,4.0,0.03305785123966942,0.17953106961937726,0.0,1.0
BRU-BRU,-3.0,,1,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
BRU-JFK,208.5625,51.00845518146967,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRU-LIS,134.6054054054054,28.188313190269255,370,0.0,0.0,0.0,0.0,3.9135135135135135,4.770401184299543,0.0,30.0,6.1,4.715568403263137,0.0,34.0,0.0,0.0,0.0,0.0,2.3216216216216217,2.599107115303487,0.0,16.0,0.0,0.0,0.0,0.0,2.556756756756757,2.046418053878895,0.0,16.0,0.6972972972972973,1.1190604088420164,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.367567567567567,4.6933068905189845,0.0,32.0,0.0,0.0,0.0,0.0,1.772972972972973,1.9429043507956678,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRU-MAD,160.33476394849785,26.994562703793513,233,0.0,0.0,0.0,0.0,2.7939914163090127,3.4504569837164625,0.0,31.0,5.450643776824034,3.4874667242470574,0.0,21.0,0.0,0.0,0.0,0.0,1.6866952789699572,1.941081234603813,0.0,9.0,0.0,0.0,0.0,0.0,1.9184549356223175,1.7560862683241545,0.0,8.0,0.9098712446351931,1.2544872838811738,0.0,6.0,0.0,0.0,0.0,0.0,0.030042918454935622,0.28458756887285697,0.0,3.0,3.570815450643777,2.944223995490547,0.0,16.0,0.0,0.0,0.0,0.0,1.1931330472103003,1.377636989989619,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRU-OPO,138.0,,1,0.0,,0.0,0.0,3.0,,3.0,3.0,7.0,,7.0,7.0,0.0,,0.0,0.0,3.0,,3.0,3.0,0.0,,0.0,0.0,1.0,,1.0,1.0,1.0,,1.0,1.0,0.0,,0.0,0.0,0.0,,0.0,0.0,5.0,,5.0,5.0,0.0,,0.0,0.0,2.0,,2.0,2.0,0.0,,0.0,0.0,0.0,,0.0,0.0
BRU-ORY,117.0,,1,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
BRU-PUJ,311.0,,1,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
